,postcode,num_streets,age,Acq,weekends,profitable,cluster,avg income
469,2069,11,43.0,1.0,4,1,4,158819.9855
470,2069,1,45.0,1.0,4,1,4,158819.9855
471,2069,1,56.0,0.0,4,0,4,158819.9855
472,2069,9,60.0,1.0,4,0,4,158819.9855
473,2069,1,69.0,1.0,4,0,4,158819.9855
474,2070,1,40.0,1.0,4,1,4,144393.7967
475,2070,1,74.0,0.0,4,1,4,144393.7967
476,2070,1,49.0,0.0,4,1,4,144393.7967
477,2070,1,71.0,1.0,4,1,4,144393.7967
478,2070,1,47.0,0.0,4,1,4,144393.7967
479,2070,1,47.0,0.0,4,1,4,144393.7967
480,2070,1,75.0,1.0,4,1,4,144393.7967
481,2070,1,72.0,0.0,4,1,4,144393.7967
482,2070,1,64.0,0.0,4,1,4,144393.7967
483,2070,1,74.0,1.0,4,1,4,144393.7967
484,2070,1,25.0,0.0,4,1,4,144393.7967
485,2070,1,57.0,0.0,4,0,4,144393.7967
486,2070,10,59.0,1.0,4,0,4,144393.7967
487,2070,1,67.0,0.0,4,0,4,144393.7967
488,2070,9,61.0,1.0,4,0,4,144393.7967
489,2070,1,79.0,1.0,4,0,4,144393.7967
490,2070,9,54.0,1.0,4,0,4,144393.7967
491,2070,1,84.0,1.0,4,0,4,144393.7967
492,2070,1,18.0,1.0,4,0,4,144393.7967
493,2071,1,63.0,1.0,4,1,4,145741.1811
494,2071,1,78.0,0.0,4,1,4,145741.1811
495,2071,1,76.0,1.0,4,1,4,145741.1811
496,2071,1,53.0,1.0,4,1,4,145741.1811
497,2071,9,76.0,1.0,4,1,4,145741.1811
498,2071,1,72.0,1.0,4,1,4,145741.1811
499,2071,1,72.0,0.0,4,1,4,145741.1811
500,2071,1,68.0,0.0,4,1,4,145741.1811
501,2071,9,80.0,1.0,4,1,4,145741.1811
502,2071,1,69.0,1.0,4,1,4,145741.1811
503,2071,1,55.0,1.0,4,1,4,145741.1811
504,2071,9,0.0,1.0,4,1,4,145741.1811
505,2071,9,66.0,1.0,4,0,4,145741.1811
506,2071,10,73.0,1.0,4,0,4,145741.1811
507,2072,1,78.0,0.0,4,1,3,126489.1505
508,2072,1,86.0,1.0,4,1,3,126489.1505
509,2072,10,23.0,1.0,4,1,3,126489.1505
510,2072,1,65.0,0.0,4,1,3,126489.1505
511,2072,1,71.0,1.0,4,0,3,126489.1505
512,2072,1,79.0,1.0,4,0,3,126489.1505
513,2072,1,20.0,0.0,4,0,3,126489.1505
