,avg tax income,avg income,avg gross tax paid,avg salary,Median_Tot_hhd_inc_weekly,postcode,Median_Tot_fam_inc_weekly,avg net tax paid,High_yr_schl_comp_Yr_11_eq_F,prediction,profitable
442,65855.90119,68597.11462,13807.0,62730.17211,1271,2784,1432,14139.45059,28,1,1
443,64218.49856,66962.96422,13448.78765,60539.61354,919,2785,1165,13748.97576,106,0,0
444,66396.62945,69183.54632,14335.1734,59616.28329,865,2786,1028,14604.15439,22,0,0
445,59264.09679,62072.74955,11476.58439,58179.64235,969,2787,1216,11729.88324,123,1,1
446,70079.07837,72576.05924,15442.80409,67297.33665,874,2790,1195,15736.18391,441,1,1
447,55661.03802,58604.70634,10437.75785,48958.65229,792,2794,1012,10497.22231,285,1,1
448,63999.6857,66994.66318,13219.06965,59901.52946,1143,2795,1434,13580.90025,985,1,1
449,59513.49707,62698.60507,11550.83214,60054.68505,1026,2799,1266,11847.93624,108,0,0
450,67432.48506,70720.62434,14552.39168,62149.58434,1189,2800,1500,15027.6931,1127,1,1
451,54073.23112,57057.11327,9830.578947,49587.56011,812,2804,981,9874.149886,61,1,1
452,57425.35111,61643.28711,11088.38311,47084.92509,720,2810,895,10592.51467,85,1,1
453,56568.74184,59367.29894,10665.78215,53842.13951,758,2820,936,10672.62764,193,0,0
454,58645.37009,61784.26559,11323.18129,54594.6256,865,2821,1098,11594.5,142,1,1
455,64851.81837,68676.48571,13518.4449,59878.61916,913,2825,1199,13723.82143,78,0,0
456,56502.51122,59270.84539,10737.62594,52082.82289,741,2827,923,10913.92934,96,1,1
457,61193.59873,63926.15183,12224.16641,56593.30211,1099,2830,1345,12623.56655,1116,1,1
458,83655.38018,86327.41302,20508.90323,78868.48813,1385,2835,1734,20836.03456,129,1,1
459,57585.81783,60576.57752,10799.28004,55385.34591,1085,2840,1234,11017.62403,64,0,0
460,72442.134,75546.00921,16424.08465,69319.36715,985,2850,1266,16929.23255,430,1,1
461,61585.34295,64579.0685,12351.66322,59439.14779,947,2870,1193,12636.01256,372,0,0
462,58691.02252,62322.0015,11461.74332,52632.14439,827,2871,1014,11603.21315,247,1,1
463,57069.33379,60186.13982,10928.86018,51491.0,832,2877,972,10951.37286,143,1,1
464,63326.20791,65716.74951,12858.61921,61079.2281,791,2880,996,13069.39484,535,0,0
465,71067.50051,73372.50455,15385.66127,70579.59538,1703,2900,2048,15590.19919,26,0,0
466,72103.55544,74630.00267,15862.99529,71111.76547,1861,2902,2162,15871.82482,390,1,1
467,71444.43267,74053.32749,15615.90774,69927.68713,1901,2903,2152,15711.81711,238,1,1
468,76430.54216,79116.77564,17476.31905,73689.89863,2215,2904,2431,17606.89867,361,1,1
469,69496.37713,71756.7174,14856.63179,68204.34468,1928,2905,2146,15266.12633,805,1,1
470,70034.60369,72279.21999,15017.86153,70240.52336,2023,2906,2216,15521.4457,531,1,1
471,69277.47199,71483.06938,14837.50423,69970.67711,2095,2912,2256,15382.41759,140,1,1
472,74885.21571,77447.23718,16878.70924,73392.75234,2046,2913,2271,17359.30882,561,1,1
473,75543.62057,78055.21336,16983.56581,76279.40424,2456,2914,2543,17689.66667,294,1,1
474,79184.91264,83616.00806,20395.77879,65581.87246,994,3000,1446,20457.82485,366,0,0
475,134989.0425,141463.1478,42907.68095,90685.37251,1989,3002,2693,44063.33832,140,1,1
476,85060.62272,88851.9565,21679.19707,75924.56607,1838,3006,2235,22507.33218,228,0,0
